filename,true_label,teacher_pred,kd_pred,baseline_pred,teacher_correct,kd_correct,baseline_correct,js_teacher_kd,js_teacher_baseline,spearman_teacher_kd,spearman_teacher_baseline,ssim_teacher_kd,ssim_teacher_baseline,miou_teacher_kd,miou_teacher_baseline
cassette_player_0001.npz,2,2,2,2,1,1,1,0.09218616525806059,0.1003837294031647,0.37938775510204076,0.39357142857142846,0.9680536053103911,0.9629028364789666,0.4789168203353349,0.4955995538606054
cassette_player_0002.npz,2,2,2,2,1,1,1,0.09987019579534578,0.11844534677107127,0.8142857142857143,0.7075510204081631,0.9696253537243643,0.9542859516245085,0.6648925077359488,0.6392839407587882
cassette_player_0003.npz,2,2,2,2,1,1,1,0.10326393715041117,0.14586826972722808,0.71734693877551,0.46193877551020407,0.9614835933677853,0.9325542725744969,0.585907800687292,0.4856715963418195
cassette_player_0004.npz,2,2,2,2,1,1,1,0.11365902891643694,0.13762187513660804,0.9126530612244896,0.9240816326530611,0.9583799441855516,0.9393257614297114,0.7036469778898305,0.7109509425353774
cassette_player_0005.npz,2,2,2,2,1,1,1,0.10552020363945018,0.13524542782570195,0.7848979591836733,0.6425510204081633,0.9682721193922871,0.9531957864913237,0.6507577766118913,0.626851707024201
cassette_player_0006.npz,2,2,2,2,1,1,1,0.09303799630650533,0.1260746052118675,0.8809183673469386,0.8064285714285713,0.9754381792951092,0.9510441888499483,0.6818989446233035,0.6184353265077813
cassette_player_0007.npz,2,2,2,2,1,1,1,0.14900059350628492,0.15752906070061576,0.8561224489795918,0.7975510204081631,0.9480740988786724,0.94721238343319,0.6515659448644698,0.5991355182612723
cassette_player_0008.npz,2,2,2,2,1,1,1,0.07338789946881714,0.08231655980655563,0.9523469387755102,0.9498979591836735,0.9871000542757757,0.9836358706386212,0.8187557397984068,0.7536449911972428
cassette_player_0009.npz,2,2,2,2,1,1,1,0.1027556308350254,0.08564366225375554,0.72,0.8024489795918366,0.9583037394085213,0.9712979834220029,0.5844726992757456,0.6198889175355294
cassette_player_0010.npz,2,2,2,2,1,1,1,0.10800481222024569,0.14027547597260848,0.7679591836734693,0.6594897959183672,0.9628482037614423,0.9375968802569693,0.5889879933322248,0.5620975180512796
cassette_player_0011.npz,2,2,2,2,1,1,1,0.16759145945561882,0.18454329254414645,0.8478571428571428,0.8010204081632651,0.9258480775287262,0.9253622306552395,0.6442375794165665,0.6453685142376081
cassette_player_0012.npz,2,2,7,7,1,0,0,0.17258167063804225,0.2602685554751805,0.6972448979591835,0.5953408912659922,0.9213587512404035,0.8630224191654059,0.5767403888888116,0.5446917030734881
cassette_player_0013.npz,2,2,2,2,1,1,1,0.10349204157619031,0.14297076043123996,0.9224720891655362,0.9513086139888959,0.9799828683163403,0.9829169239461806,0.7639004599268338,0.7628725569499688
cassette_player_0014.npz,2,2,2,2,1,1,1,0.1215708835820838,0.11514656153861746,0.8792857142857142,0.910408163265306,0.9670090174383019,0.9732213747787777,0.7539583833174953,0.8035995704873784
cassette_player_0015.npz,2,2,2,2,1,1,1,0.08321327618921633,0.13756796869222332,0.9084693877551019,0.7677551020408162,0.9816120231163123,0.9402340053479635,0.7796184133962721,0.6531988378712482
cassette_player_0016.npz,2,2,2,2,1,1,1,0.17794587760462735,0.1920261447809447,0.7996114579324561,0.8044036885015257,0.9194900323580598,0.9105144505851459,0.6518094244682513,0.6406856796003171
