filename,true_label,teacher_pred,kd_pred,baseline_pred,teacher_correct,kd_correct,baseline_correct,js_teacher_kd,js_teacher_baseline,spearman_teacher_kd,spearman_teacher_baseline,ssim_teacher_kd,ssim_teacher_baseline,miou_teacher_kd,miou_teacher_baseline
cassette_player_0001.npz,2,2,2,2,1,1,1,0.06540502465477743,0.09994305765065163,0.6319387755102039,0.48418367346938773,0.9840363014091966,0.9628161864349557,0.5848105176157131,0.5150455308922902
cassette_player_0002.npz,2,2,2,2,1,1,1,0.11519753561644253,0.12696200933389273,0.7524489795918368,0.6867346938775508,0.9598685666085952,0.9440704617425759,0.6424480950579605,0.551081193816611
cassette_player_0003.npz,2,2,2,2,1,1,1,0.108975215271762,0.10158621097130531,0.7840816326530611,0.7828571428571427,0.9665166998184532,0.9642348981953771,0.5864621178587146,0.5988123089313565
cassette_player_0004.npz,2,2,2,2,1,1,1,0.07305716023642529,0.10664779092294753,0.9624489795918367,0.9174489795918367,0.9866618673939005,0.9686572280721828,0.8146996499943658,0.7831602652290589
cassette_player_0005.npz,2,2,2,3,1,1,0,0.13500533110978244,0.1401841979116229,0.7631632653061223,0.7299999999999999,0.9596925249954898,0.9440961480419309,0.6439121255207277,0.5875349050473934
cassette_player_0006.npz,2,2,2,2,1,1,1,0.09794141661484618,0.1265026002480604,0.8831632653061223,0.7823469387755102,0.973076163023897,0.9546882794177681,0.6917718896023237,0.6016273069778192
cassette_player_0007.npz,2,2,2,2,1,1,1,0.12825584684341318,0.10925766863067149,0.7844897959183673,0.8605102040816326,0.961164602245832,0.965859238028408,0.6046922458554014,0.6412535543191693
cassette_player_0008.npz,2,2,2,2,1,1,1,0.10290570954435485,0.08231409129566389,0.9329591836734693,0.9458163265306121,0.9802629463377523,0.9850209551837021,0.7719123536469336,0.8026863947436065
cassette_player_0009.npz,2,2,2,2,1,1,1,0.1156377973347648,0.10464127594747473,0.6553061224489796,0.7261224489795918,0.9547743277786539,0.9647265917015354,0.5573923809131232,0.6303973128602822
cassette_player_0010.npz,2,2,2,2,1,1,1,0.11300702881608034,0.1678393876203874,0.8475510204081631,0.7025510204081633,0.967230136919895,0.9303646632946989,0.6498709882097147,0.5716322856395595
cassette_player_0011.npz,2,2,2,2,1,1,1,0.13901123162165185,0.1964876442910537,0.9130845177592996,0.7908163265306121,0.9577141294941584,0.92951887336939,0.7087456233686593,0.6360098906411444
cassette_player_0012.npz,2,2,7,7,1,0,0,0.23587116957447246,0.2563630831792066,0.586545575333086,0.6459418912022564,0.8573936160301884,0.8552101184623203,0.530675254720833,0.5410001308574951
cassette_player_0013.npz,2,2,2,2,1,1,1,0.12155025442650122,0.10660521145473908,0.9274773942435711,0.9354077625662114,0.9797979107623311,0.9817616138954693,0.7246183588063857,0.7383163854501169
cassette_player_0014.npz,2,2,2,2,1,1,1,0.07700137424741989,0.08542078201335074,0.9545918367346937,0.949081632653061,0.9830829252977135,0.9814921382040317,0.8192687711313411,0.8386089220304507
cassette_player_0015.npz,2,2,2,2,1,1,1,0.10049663260637634,0.125152620843435,0.9395647851216753,0.8983569798794995,0.9798620946987157,0.977903020333834,0.782355309928082,0.7837054733470703
cassette_player_0016.npz,2,2,2,2,1,1,1,0.15404029417616247,0.2550562321759522,0.8741299168416264,0.7455228595535478,0.9523868986653659,0.8654540880902736,0.6985100502640278,0.6182612631181532
cassette_player_0017.npz,2,2,2,2,1,1,1,0.12138854101092295,0.17644098407949713,0.2363265306122449,0.20020408163265305,0.9543689422255397,0.9058518599488642,0.4632311925113603,0.43490993922236726
cassette_player_0018.npz,2,2,2,2,1,1,1,0.13839995926033435,0.16475414906670868,0.7635714285714285,0.7007142857142856,0.9462302461573542,0.9177858425594508,0.6024915536888874,0.5842471870377275
cassette_player_0019.npz,2,2,2,2,1,1,1,0.0848122606046194,0.16281000642220203,0.5839795918367345,0.22367346938775506,0.97884524659979,0.9236776360861355,0.5211653268195752,0.41988218224809226
cassette_player_0020.npz,2,2,2,2,1,1,1,0.08975751512767033,0.11100305820196069,0.8871428571428571,0.8673469387755101,0.9699716055421473,0.9589838536111763,0.6864956039120588,0.6482517905221962
cassette_player_0021.npz,2,2,2,2,1,1,1,0.10982519972495532,0.10305329830617642,0.8845918367346938,0.9021428571428571,0.9699663147787283,0.9696653237486181,0.6579823230354117,0.6740478213215957
cassette_player_0022.npz,2,2,2,2,1,1,1,0.10208669920440598,0.14267519506766366,0.8115306122448979,0.7519387755102039,0.9739005095796448,0.9337208979680086,0.6120314725710012,0.5932795114739856
cassette_player_0023.npz,2,2,2,2,1,1,1,0.13492239112789606,0.12356235132303889,0.8739795918367346,0.9036734693877551,0.9619403882140417,0.9639222427133894,0.6696312673623156,0.6989135991363893
cassette_player_0024.npz,2,2,2,2,1,1,1,0.10987075224293182,0.14800760364159837,0.5198979591836734,0.28459183673469385,0.9699234632388113,0.9280194954293176,0.5817463711569179,0.46683616509504927
cassette_player_0025.npz,2,2,2,2,1,1,1,0.08299747481708325,0.13928092787245663,0.6506122448979591,0.6820408163265307,0.9766970346913334,0.9456188849070507,0.5494968867424845,0.5675050058169997
cassette_player_0026.npz,2,2,2,2,1,1,1,0.08219167756128475,0.14724952748398412,0.9218367346938774,0.8791836734693877,0.9851541417660915,0.93559327428451,0.7520155180468362,0.6941066730080768
